,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary
226,45-49,Man,Portugal,High school,Other,< 1 years,1,Under 1 year,Other,"1000-9,999 employees",3-4,"10,000-14,999"
227,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years,7,1-2 years,Computers/Technology,0-49 employees,0,"3,000-3,999"
228,25-29,Woman,Hong Kong,Doctoral degree,Data Scientist,5-10 years,1,4-5 years,Accounting/Finance,"10,000 or more employees",3-4,"7,500-9,999"
229,25-29,Man,Japan,High school,Machine Learning Engineer,5-10 years,3,4-5 years,Computers/Technology,"1000-9,999 employees",3-4,"60,000-69,999"
230,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years,3,1-2 years,Manufacturing/Fabrication,"10,000 or more employees",15-19,"10,000-14,999"
231,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,Under 1 year,Computers/Technology,"10,000 or more employees",20+,"4,000-4,999"
232,22-24,Man,China,Master’s degree,Data Scientist,1-3 years,1,1-2 years,Manufacturing/Fabrication,0-49 employees,1-2,0-999
233,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years,1,Under 1 year,,,,nan
234,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years,2,1-2 years,Academics/Education,0-49 employees,3-4,0-999
235,50-54,Man,Austria,High school,Software Engineer,20+ years,3,No experience,Shipping/Transportation,"1000-9,999 employees",3-4,"70,000-79,999"
236,22-24,Man,India,Bachelor’s degree,Student,< 1 years,3,Under 1 year,,,,nan
237,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,6,2-3 years,,,,nan
238,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years,3,1-2 years,Accounting/Finance,0-49 employees,1-2,nan
239,25-29,Man,USA,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
240,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,4,4-5 years,Computers/Technology,"1000-9,999 employees",1-2,"125,000-149,999"
241,30-34,Man,USA,Master’s degree,Student,1-3 years,1,Under 1 year,,,,nan
242,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years,3,No experience,,,,nan
243,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",1-2,"2,000-2,999"
244,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
245,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Energy/Mining,250-999 employees,5-9,"60,000-69,999"
246,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,1,Under 1 year,,,,nan
247,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,2,1-2 years,Other,"10,000 or more employees",20+,"30,000-39,999"
248,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,4,3-4 years,Other,0-49 employees,1-2,0-999
249,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,1,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,0-999
250,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years,4,Under 1 year,,,,nan
251,30-34,Woman,Brazil,Some college no bachelor,Currently not employed,< 1 years,1,Under 1 year,,,,nan
252,22-24,Man,USA,Master’s degree,Other,3-5 years,2,No experience,Computers/Technology,250-999 employees,3-4,"70,000-79,999"
253,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,2,No experience,Academics/Education,0-49 employees,1-2,"1,000-1,999"
254,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,0-999
255,40-44,Man,USA,Master’s degree,Software Engineer,10-20 years,3,1-2 years,Online Service/Internet-based Services,250-999 employees,0,nan
256,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,4-5 years,Computers/Technology,"10,000 or more employees",15-19,"30,000-39,999"
257,22-24,Man,India,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
258,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",3-4,"2,000-2,999"
259,60-69,Man,USA,Master’s degree,Software Engineer,20+ years,4,2-3 years,Computers/Technology,50-249 employees,15-19,"100,000-124,999"
260,50-54,Man,USA,Master’s degree,Currently not employed,20+ years,2,1-2 years,,,,nan
261,35-39,Man,Indonesia,High school,Data Scientist,No experience,0,,Academics/Education,"10,000 or more employees",0,0-999
262,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years,2,1-2 years,Computers/Technology,250-999 employees,3-4,"3,000-3,999"
263,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Retail/Sales,50-249 employees,1-2,"100,000-124,999"
264,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,3,No experience,Energy/Mining,"10,000 or more employees",20+,"5,000-7,499"
265,35-39,Man,Australia,Master’s degree,Currently not employed,5-10 years,4,5-10 years,,,,nan
266,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years,3,1-2 years,Computers/Technology,0-49 employees,1-2,nan
267,45-49,Other,Brazil,Bachelor’s degree,Research Scientist,10-20 years,2,1-2 years,Academics/Education,0-49 employees,5-9,0-999
268,18-21,Man,India,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
269,22-24,Man,Other,Bachelor’s degree,Currently not employed,5-10 years,6,No experience,,,,nan
270,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,1,2-3 years,Academics/Education,50-249 employees,1-2,0-999
271,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Online Business/Internet-based Sales,250-999 employees,20+,0-999
272,25-29,Man,UK,Master’s degree,Student,1-3 years,2,2-3 years,,,,nan
273,25-29,Man,Nigeria,Some college no bachelor,Currently not employed,< 1 years,1,No experience,,,,nan
274,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,3,Under 1 year,Government/Public Service,"1000-9,999 employees",10-14,"100,000-124,999"
275,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years,4,No experience,Computers/Technology,0-49 employees,1-2,0-999
276,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years,1,1-2 years,Military/Security/Defense,"10,000 or more employees",1-2,"3,000-3,999"
277,22-24,Man,India,Master’s degree,Currently not employed,3-5 years,2,Under 1 year,,,,nan
278,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,1,No experience,,,,nan
279,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years,1,Under 1 year,,,,nan
280,22-24,Man,India,Master’s degree,Student,< 1 years,2,Under 1 year,,,,nan
281,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,"2,000-2,999"
282,18-21,Woman,India,Master’s degree,Student,< 1 years,3,No experience,,,,nan
283,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999
284,50-54,Man,USA,Bachelor’s degree,Software Engineer,20+ years,6,5-10 years,Retail/Sales,"1000-9,999 employees",20+,"250,000-299,999"
285,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,"10,000-14,999"
286,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years,1,Under 1 year,Military/Security/Defense,"1000-9,999 employees",20+,"125,000-149,999"
287,22-24,Man,USA,Master’s degree,Student,3-5 years,2,2-3 years,,,,nan
288,35-39,Woman,USA,Master’s degree,Data Scientist,10-20 years,4,5-10 years,Computers/Technology,0-49 employees,1-2,"150,000-199,999"
289,25-29,Man,India,Master’s degree,Student,3-5 years,3,1-2 years,,,,nan
290,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",0,"20,000-24,999"
291,22-24,Woman,India,Master’s degree,Research Scientist,No experience,0,,Academics/Education,0-49 employees,0,0-999
292,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years,4,No experience,,,,nan
293,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,5,2-3 years,Hospitality/Entertainment/Sports,"1000-9,999 employees",20+,"2,000-2,999"
294,18-21,Man,India,Bachelor’s degree,Student,1-3 years,2,Under 1 year,,,,nan
295,22-24,Man,China,Doctoral degree,Program/Project Manager,1-3 years,2,,,,,nan
296,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,"1000-9,999 employees",1-2,"5,000-7,499"
297,30-34,Woman,USA,Master’s degree,Data Engineer,No experience,0,,Computers/Technology,250-999 employees,3-4,0-999
298,50-54,Man,Russia,High school,Currently not employed,1-3 years,3,Under 1 year,,,,nan
299,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years,2,2-3 years,Other,0-49 employees,1-2,"30,000-39,999"
300,50-54,Man,UK,High school,Developer Relations/Advocacy,10-20 years,4,,,,,nan
301,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",5-9,"7,500-9,999"
302,25-29,Other,Germany,Doctoral degree,Research Scientist,3-5 years,4,3-4 years,Academics/Education,250-999 employees,20+,"50,000-59,999"
303,22-24,Woman,Nigeria,Master’s degree,Student,1-3 years,2,1-2 years,,,,nan
304,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,No experience,Academics/Education,50-249 employees,0,"3,000-3,999"
305,25-29,Woman,Nigeria,Bachelor’s degree,Student,< 1 years,1,1-2 years,,,,nan
306,45-49,Man,India,Master’s degree,Statistician,20+ years,2,20 or more years,Other,50-249 employees,5-9,"25,000-29,999"
307,30-34,Man,UK,Bachelor’s degree,Machine Learning Engineer,10-20 years,1,2-3 years,Computers/Technology,"10,000 or more employees",20+,"70,000-79,999"
308,30-34,Other,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 years,5,Under 1 year,Marketing/CRM,0-49 employees,1-2,"10,000-14,999"
309,25-29,Woman,Sri Lanka,Master’s degree,Student,No experience,0,,,,,nan
310,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years,1,3-4 years,Academics/Education,0-49 employees,3-4,"7,500-9,999"
311,60-69,Man,Chile,Master’s degree,Other,20+ years,3,4-5 years,Academics/Education,250-999 employees,3-4,0-999
312,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Computers/Technology,50-249 employees,3-4,"15,000-19,999"
313,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Non-profit/Service,0-49 employees,0,0-999
314,60-69,Man,USA,Bachelor’s degree,Software Engineer,10-20 years,2,1-2 years,Other,0-49 employees,0,nan
315,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,"10,000 or more employees",3-4,"25,000-29,999"
316,40-44,Man,Other,Doctoral degree,Student,5-10 years,1,Under 1 year,,,,nan
317,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years,3,Under 1 year,,,,nan
318,22-24,Woman,UK,Bachelor’s degree,Data Scientist,1-3 years,4,Under 1 year,Computers/Technology,,,nan
319,18-21,Man,Indonesia,Some college no bachelor,Student,1-3 years,2,No experience,,,,nan
320,25-29,Woman,India,Master’s degree,Currently not employed,1-3 years,2,Under 1 year,,,,nan
321,18-21,Man,India,Bachelor’s degree,Student,1-3 years,1,,,,,nan
322,25-29,Man,India,Master’s degree,Data Engineer,1-3 years,3,2-3 years,Online Business/Internet-based Sales,"1000-9,999 employees",,nan
323,40-44,Man,Japan,Master’s degree,Other,10-20 years,6,Under 1 year,Broadcasting/Communications,"10,000 or more employees",10-14,"100,000-124,999"
324,35-39,Man,India,Bachelor’s degree,Currently not employed,5-10 years,3,3-4 years,,,,nan
325,40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Retail/Sales,0-49 employees,20+,"1,000-1,999"
326,25-29,Man,France,Master’s degree,Data Scientist,1-3 years,4,1-2 years,Insurance/Risk Assessment,"1000-9,999 employees",1-2,nan
327,30-34,Woman,UAE,Master’s degree,Currently not employed,1-3 years,2,Under 1 year,,,,nan
328,35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 years,3,1-2 years,Government/Public Service,"1000-9,999 employees",20+,0-999
329,22-24,Man,India,Bachelor’s degree,Other,1-3 years,2,,,,,nan
330,35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,3,2-3 years,Academics/Education,0-49 employees,1-2,"4,000-4,999"
331,18-21,Man,India,Some college no bachelor,Currently not employed,< 1 years,4,,,,,nan
332,25-29,Woman,USA,Master’s degree,Student,< 1 years,3,Under 1 year,,,,nan
333,40-44,Man,France,Doctoral degree,Data Scientist,10-20 years,2,No experience,Computers/Technology,0-49 employees,5-9,"40,000-49,999"
334,22-24,Man,Uganda,Bachelor’s degree,Currently not employed,< 1 years,3,No experience,,,,nan
335,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Insurance/Risk Assessment,0-49 employees,5-9,"10,000-14,999"
336,35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 years,6,3-4 years,Computers/Technology,"10,000 or more employees",20+,"3,000-3,999"
337,45-49,Man,Russia,Master’s degree,Product Manager,3-5 years,2,1-2 years,Computers/Technology,0-49 employees,1-2,0-999
338,35-39,Man,Spain,Doctoral degree,Research Scientist,5-10 years,1,3-4 years,,,,nan
339,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Accounting/Finance,0-49 employees,1-2,0-999
340,40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 years,1,2-3 years,Academics/Education,250-999 employees,20+,"60,000-69,999"
341,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Academics/Education,250-999 employees,1-2,"1,000-1,999"
342,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Other,0-49 employees,0,0-999
343,70+,Man,USA,Master’s degree,Currently not employed,20+ years,4,20 or more years,,,,nan
344,50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 years,4,1-2 years,Computers/Technology,50-249 employees,1-2,"25,000-29,999"
345,18-21,Man,India,Some college no bachelor,Student,1-3 years,5,Under 1 year,,,,nan
346,30-34,Man,India,Master’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,50-249 employees,3-4,0-999
347,55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ years,3,20 or more years,Other,50-249 employees,3-4,"70,000-79,999"
348,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years,4,2-3 years,Computers/Technology,"1000-9,999 employees",20+,"25,000-29,999"
349,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,4,No experience,,,,nan
350,18-21,Man,Ireland,Some college no bachelor,Currently not employed,3-5 years,1,Under 1 year,,,,nan
351,18-21,Man,India,Bachelor’s degree,Student,1-3 years,6,Under 1 year,,,,nan
352,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",3-4,"20,000-24,999"
353,22-24,Man,China,Some college no bachelor,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,0-49 employees,0,0-999
354,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,2,4-5 years,Computers/Technology,"10,000 or more employees",3-4,"2,000-2,999"
355,30-34,Man,USA,Master’s degree,Data Scientist,5-10 years,4,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",20+,"150,000-199,999"
356,30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 years,4,1-2 years,Academics/Education,"1000-9,999 employees",3-4,"5,000-7,499"
357,40-44,Man,India,Master’s degree,Data Engineer,5-10 years,2,Under 1 year,Academics/Education,250-999 employees,5-9,0-999
358,35-39,Man,India,Doctoral degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,"3,000-3,999"
359,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,2,1-2 years,,,,nan
360,22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,50-249 employees,1-2,"7,500-9,999"
361,25-29,Woman,UK,Bachelor’s degree,Student,No experience,0,,,,,nan
362,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,0,"1,000-1,999"
363,55-59,Man,UK,Master’s degree,Currently not employed,1-3 years,6,1-2 years,,,,nan
364,35-39,Man,USA,Bachelor’s degree,Business Analyst,5-10 years,3,Under 1 year,Retail/Sales,"10,000 or more employees",20+,"70,000-79,999"
365,18-21,Man,Viet Nam,Bachelor’s degree,Student,1-3 years,3,Under 1 year,,,,nan
366,25-29,Woman,Egypt,Bachelor’s degree,Other,< 1 years,1,,,,,nan
367,18-21,Woman,Other,Master’s degree,Student,1-3 years,2,Under 1 year,,,,nan
368,25-29,Man,India,Bachelor’s degree,Other,No experience,0,,Medical/Pharmaceutical,0-49 employees,0,"4,000-4,999"
369,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years,1,No experience,Accounting/Finance,250-999 employees,5-9,"30,000-39,999"
370,35-39,Man,Kenya,Bachelor’s degree,Currently not employed,< 1 years,1,Under 1 year,,,,nan
371,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,1-3 years,2,Under 1 year,Computers/Technology,50-249 employees,0,nan
372,25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Accounting/Finance,250-999 employees,3-4,"25,000-29,999"
373,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years,4,3-4 years,Computers/Technology,0-49 employees,1-2,"60,000-69,999"
374,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 years,2,1-2 years,Academics/Education,50-249 employees,3-4,"2,000-2,999"
375,45-49,Man,France,Master’s degree,Currently not employed,5-10 years,7,5-10 years,,,,nan
376,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years,3,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",1-2,"10,000-14,999"
377,60-69,Man,India,Master’s degree,Software Engineer,10-20 years,3,1-2 years,Online Service/Internet-based Services,0-49 employees,1-2,"10,000-14,999"
378,25-29,Man,Taiwan,Master’s degree,Currently not employed,1-3 years,1,2-3 years,,,,nan
379,60-69,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years,1,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,"4,000-4,999"
380,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years,3,1-2 years,Accounting/Finance,0-49 employees,3-4,0-999
381,25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999
382,22-24,Man,Taiwan,Master’s degree,Student,3-5 years,3,Under 1 year,,,,nan
383,25-29,Woman,Thailand,Bachelor’s degree,Other,No experience,0,,Medical/Pharmaceutical,50-249 employees,1-2,0-999
