,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
618,22-24,Man,India,Bachelor’s degree,3,2-3 years,Insurance/Risk Assessment,Medium,22500.0,Data Scientist
620,50-54,Man,USA,Master’s degree,4,4-5 years,Energy/Mining,Large,112500.0,Data Scientist
621,25-29,Woman,India,Master’s degree,3,4-5 years,Academics/Education,Small,500.0,Data Analyst
624,30-34,Woman,India,Master’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Data Analyst
628,35-39,Man,Russia,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Large,17500.0,Data Analyst
630,25-29,Man,India,Bachelor’s degree,3,2-3 years,Computers/Technology,Large,6250.0,Data Scientist
631,35-39,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Medium,500.0,Data Scientist
632,30-34,Man,Germany,Master’s degree,4,1-2 years,Energy/Mining,Small,65000.0,Data Scientist
633,18-21,Man,India,Bachelor’s degree,3,1-2 years,Computers/Technology,Small,500.0,Data Analyst
634,22-24,Man,India,Bachelor’s degree,1,No experience,Manufacturing/Fabrication,Medium,3500.0,Data Analyst
635,25-29,Woman,India,Master’s degree,2,Under 1 year,Other,Large,3500.0,Other
636,22-24,Man,Greece,Master’s degree,2,3-4 years,Online Service/Internet-based Services,Medium,27500.0,Data Engineer
639,35-39,Woman,Spain,Doctoral degree,1,3-4 years,Computers/Technology,Small,45000.0,Data Scientist
641,50-54,Man,Belgium,Master’s degree,3,3-4 years,Computers/Technology,Small,500.0,Data Engineer
642,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
649,25-29,Woman,USA,Bachelor’s degree,1,1-2 years,Government/Public Service,Large,12500.0,Other
652,18-21,Man,India,I prefer not to answer,1,No experience,Government/Public Service,Large,2500.0,Data Engineer
654,30-34,Man,India,Master’s degree,2,1-2 years,Insurance/Risk Assessment,Large,2500.0,Data Scientist
656,50-54,Man,Spain,Master’s degree,2,Under 1 year,Other,Large,65000.0,Data Analyst
659,35-39,Man,UK,Doctoral degree,1,2-3 years,Military/Security/Defense,Small,95000.0,Data Scientist
660,30-34,Woman,India,Master’s degree,2,No experience,Computers/Technology,Large,500.0,Data Analyst
664,25-29,Man,Russia,Master’s degree,4,4-5 years,Computers/Technology,Medium,95000.0,Data Engineer
666,30-34,Man,India,Master’s degree,1,1-2 years,Marketing/CRM,Large,12500.0,Data Analyst
670,25-29,Man,India,Bachelor’s degree,1,1-2 years,Online Service/Internet-based Services,Medium,500.0,Data Engineer
672,55-59,Man,USA,Bachelor’s degree,3,Under 1 year,Computers/Technology,Medium,35000.0,Other
673,30-34,Man,India,Master’s degree,4,Under 1 year,Government/Public Service,Large,27500.0,Data Engineer
675,55-59,Man,USA,Some college,4,4-5 years,Computers/Technology,Large,137500.0,Data Engineer
676,55-59,Man,USA,Master’s degree,1,No experience,Other,Large,45000.0,Other
677,22-24,Man,India,Master’s degree,3,Under 1 year,Accounting/Finance,Large,2500.0,Data Scientist
678,40-44,Woman,USA,Doctoral degree,1,Under 1 year,Academics/Education,Small,35000.0,Data Scientist
679,40-44,Man,India,Doctoral degree,3,5-10 years,Computers/Technology,Large,22500.0,Data Scientist
680,45-49,Man,Poland,Master’s degree,4,1-2 years,Computers/Technology,Large,95000.0,Data Engineer
681,25-29,Man,Germany,Master’s degree,4,4-5 years,Manufacturing/Fabrication,Medium,65000.0,Data Scientist
683,40-44,Man,Germany,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Large,8750.0,Data Analyst
687,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Medical/Pharmaceutical,Large,6250.0,Data Analyst
688,30-34,Man,Russia,Some college,1,No experience,Medical/Pharmaceutical,Small,6250.0,Other
690,30-34,Woman,Netherlands,Doctoral degree,2,Under 1 year,Academics/Education,Large,35000.0,Data Scientist
691,50-54,Man,Italy,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,55000.0,Data Analyst
692,40-44,Man,India,Doctoral degree,3,Under 1 year,Accounting/Finance,Large,27500.0,Data Analyst
693,18-21,Man,India,Bachelor’s degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
694,22-24,Man,Poland,Master’s degree,3,2-3 years,Online Service/Internet-based Services,Medium,45000.0,Data Scientist
702,45-49,Man,India,Master’s degree,2,5-10 years,Computers/Technology,Large,55000.0,Data Scientist
704,30-34,Man,Portugal,Doctoral degree,4,4-5 years,Computers/Technology,Medium,65000.0,Data Engineer
707,45-49,Man,USA,Professional doctorate,2,10-20 years,Manufacturing/Fabrication,Large,175000.0,Data Scientist
709,40-44,Woman,India,Doctoral degree,4,3-4 years,Academics/Education,Large,1500.0,Data Engineer
712,40-44,Man,India,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,65000.0,Data Analyst
713,55-59,Man,UK,Doctoral degree,3,10-20 years,Other,Small,95000.0,Data Scientist
714,35-39,Woman,India,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,6250.0,Data Engineer
715,55-59,Man,Germany,Doctoral degree,4,3-4 years,Computers/Technology,Small,95000.0,Data Engineer
716,22-24,Man,Poland,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,45000.0,Data Engineer
718,30-34,Woman,Germany,Master’s degree,1,Under 1 year,Shipping/Transportation,Large,65000.0,Data Analyst
719,35-39,Man,India,Bachelor’s degree,3,No experience,Computers/Technology,Large,27500.0,Other
724,18-21,Woman,India,Bachelor’s degree,2,No experience,Other,Small,500.0,Data Analyst
726,55-59,Man,Netherlands,Master’s degree,1,20 or more years,Computers/Technology,Large,112500.0,Data Scientist
727,35-39,Man,India,Master’s degree,3,5-10 years,Accounting/Finance,Small,55000.0,Data Engineer
734,40-44,Man,Spain,Doctoral degree,4,5-10 years,Academics/Education,Small,65000.0,Data Scientist
735,18-21,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Medium,500.0,Data Engineer
738,30-34,Woman,Russia,Master’s degree,2,Under 1 year,Computers/Technology,Small,8750.0,Data Analyst
739,50-54,Man,UK,Some college,3,Under 1 year,Retail/Sales,Large,45000.0,Data Analyst
740,40-44,Man,India,Bachelor’s degree,2,Under 1 year,Insurance/Risk Assessment,Large,35000.0,Data Analyst
743,30-34,Man,France,Master’s degree,3,4-5 years,Insurance/Risk Assessment,Large,112500.0,Data Analyst
751,25-29,Man,USA,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,137500.0,Data Engineer
752,22-24,Woman,France,Master’s degree,1,2-3 years,Insurance/Risk Assessment,Large,75000.0,Data Scientist
753,25-29,Woman,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,6250.0,Data Analyst
758,45-49,Man,Spain,Bachelor’s degree,3,1-2 years,Government/Public Service,Large,65000.0,Data Analyst
759,35-39,Man,USA,Master’s degree,2,5-10 years,Military/Security/Defense,Large,75000.0,Other
760,22-24,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Large,12500.0,Data Engineer
761,50-54,Woman,Poland,Master’s degree,1,No experience,Academics/Education,Large,1500.0,Data Analyst
762,18-21,Man,Russia,Bachelor’s degree,1,2-3 years,Computers/Technology,Small,500.0,Data Engineer
763,18-21,Man,India,Bachelor’s degree,4,Under 1 year,Other,Small,500.0,Data Scientist
766,30-34,Man,USA,Bachelor’s degree,3,Under 1 year,Military/Security/Defense,Large,85000.0,Data Engineer
768,25-29,Man,France,Master’s degree,1,2-3 years,Manufacturing/Fabrication,Large,112500.0,Data Analyst
769,30-34,Man,Austria,Doctoral degree,1,4-5 years,Marketing/CRM,Small,12500.0,Data Scientist
770,25-29,Man,India,Master’s degree,2,No experience,Academics/Education,Large,65000.0,Data Analyst
772,30-34,Man,Sweden,High school,3,Under 1 year,Shipping/Transportation,Large,55000.0,Other
778,50-54,Man,Ireland,Doctoral degree,1,Under 1 year,Government/Public Service,Large,112500.0,Other
780,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Manufacturing/Fabrication,Large,3500.0,Other
784,30-34,Man,Austria,Bachelor’s degree,4,2-3 years,Shipping/Transportation,Large,55000.0,Data Engineer
785,30-34,Man,Germany,Master’s degree,3,4-5 years,Computers/Technology,Large,35000.0,Data Scientist
789,35-39,Man,Ukraine,Bachelor’s degree,1,Under 1 year,Academics/Education,Medium,1500.0,Data Engineer
790,30-34,Man,UK,Master’s degree,2,Under 1 year,Shipping/Transportation,Large,35000.0,Data Analyst
798,25-29,Man,Spain,Master’s degree,2,4-5 years,Online Service/Internet-based Services,Large,65000.0,Data Scientist
799,25-29,Woman,India,Master’s degree,1,Under 1 year,Computers/Technology,Medium,500.0,Data Scientist
800,22-24,Man,India,Bachelor’s degree,4,3-4 years,Other,Large,8750.0,Data Analyst
801,25-29,Man,Belgium,Master’s degree,4,1-2 years,Other,Small,27500.0,Data Scientist
803,22-24,Woman,India,Master’s degree,2,No experience,Computers/Technology,Medium,12500.0,Data Analyst
804,22-24,Man,Greece,Master’s degree,2,1-2 years,Energy/Mining,Small,17500.0,Data Engineer
806,22-24,Man,UK,Bachelor’s degree,2,1-2 years,Retail/Sales,Large,35000.0,Data Scientist
807,22-24,Man,Belgium,Master’s degree,4,1-2 years,Academics/Education,Small,500.0,Data Engineer
812,45-49,Man,India,Master’s degree,3,20 or more years,Other,Medium,27500.0,Data Scientist
813,30-34,Man,India,Master’s degree,4,5-10 years,Accounting/Finance,Large,35000.0,Data Analyst
814,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
815,25-29,Man,India,Bachelor’s degree,1,3-4 years,Online Service/Internet-based Services,Medium,35000.0,Data Engineer
817,22-24,Man,India,I prefer not to answer,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
819,30-34,Man,USA,Doctoral degree,1,1-2 years,Accounting/Finance,Large,112500.0,Data Scientist
820,35-39,Man,Germany,Bachelor’s degree,1,1-2 years,Manufacturing/Fabrication,Large,95000.0,Other
824,30-34,Man,France,Doctoral degree,1,Under 1 year,Academics/Education,Large,17500.0,Data Scientist
831,22-24,Man,India,Bachelor’s degree,2,3-4 years,Computers/Technology,Medium,27500.0,Data Engineer
834,40-44,Man,India,Master’s degree,1,Under 1 year,Accounting/Finance,Large,6250.0,Other
836,22-24,Man,India,Master’s degree,3,Under 1 year,Other,Large,500.0,Data Analyst
839,55-59,Man,India,Doctoral degree,4,20 or more years,Academics/Education,Small,6250.0,Data Scientist
841,30-34,Woman,Germany,Master’s degree,1,No experience,Manufacturing/Fabrication,Large,65000.0,Data Analyst
845,22-24,Man,India,Master’s degree,3,Under 1 year,Retail/Sales,Small,1500.0,Data Engineer
846,40-44,Man,Germany,Master’s degree,3,3-4 years,Online Service/Internet-based Services,Small,85000.0,Data Scientist
847,45-49,Man,Spain,Bachelor’s degree,3,3-4 years,Hospitality/Entertainment/Sports,Small,137500.0,Data Engineer
852,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Online Service/Internet-based Services,Medium,500.0,Data Engineer
855,55-59,Man,Spain,Master’s degree,1,3-4 years,Government/Public Service,Large,55000.0,Data Scientist
856,22-24,Man,Russia,Master’s degree,2,Under 1 year,Non-profit/Service,Large,12500.0,Data Engineer
864,22-24,Woman,India,Master’s degree,2,3-4 years,Computers/Technology,Medium,45000.0,Data Scientist
865,25-29,Man,Russia,Master’s degree,4,3-4 years,Hospitality/Entertainment/Sports,Large,45000.0,Data Engineer
868,55-59,Man,Germany,Doctoral degree,4,5-10 years,Computers/Technology,Large,35000.0,Data Engineer
870,40-44,Man,India,Master’s degree,1,5-10 years,Computers/Technology,Large,4500.0,Data Analyst
871,50-54,Man,USA,Bachelor’s degree,2,No experience,Medical/Pharmaceutical,Small,175000.0,Data Analyst
873,50-54,Man,Germany,Doctoral degree,3,10-20 years,Government/Public Service,Large,65000.0,Data Scientist
874,35-39,Man,Netherlands,Master’s degree,1,No experience,Non-profit/Service,Large,85000.0,Data Analyst
875,25-29,Man,USA,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Medium,500.0,Data Engineer
877,45-49,Man,Italy,Some college,2,No experience,Computers/Technology,Large,27500.0,Data Engineer
879,25-29,Man,USA,Doctoral degree,2,1-2 years,Computers/Technology,Large,1500.0,Data Engineer
884,18-21,Woman,India,Bachelor’s degree,2,No experience,Academics/Education,Small,500.0,Data Analyst
888,50-54,Woman,USA,Master’s degree,3,No experience,Medical/Pharmaceutical,Large,95000.0,Data Analyst
889,35-39,Man,India,Master’s degree,4,No experience,Accounting/Finance,Large,137500.0,Data Analyst
891,25-29,Man,UK,Master’s degree,2,1-2 years,Other,Large,55000.0,Data Scientist
892,22-24,Man,India,Bachelor’s degree,4,Under 1 year,Computers/Technology,Small,1500.0,Data Engineer
893,45-49,Man,Russia,Master’s degree,3,5-10 years,Retail/Sales,Large,112500.0,Data Analyst
894,25-29,Man,Spain,Master’s degree,1,1-2 years,Broadcasting/Communications,Large,45000.0,Data Scientist
897,30-34,Man,India,Master’s degree,3,2-3 years,Other,Large,12500.0,Data Scientist
898,25-29,Man,Germany,Doctoral degree,2,4-5 years,Military/Security/Defense,Small,112500.0,Data Scientist
899,45-49,Man,Sweden,Master’s degree,4,4-5 years,Manufacturing/Fabrication,Large,112500.0,Data Scientist
900,22-24,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Medium,500.0,Data Scientist
903,25-29,Man,Spain,Doctoral degree,3,5-10 years,Academics/Education,Small,22500.0,Data Scientist
904,22-24,Woman,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,55000.0,Data Engineer
907,35-39,Man,Denmark,Doctoral degree,1,Under 1 year,Computers/Technology,Small,75000.0,Data Scientist
908,35-39,Woman,USA,Master’s degree,1,5-10 years,Shipping/Transportation,Small,35000.0,Other
909,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Computers/Technology,Medium,112500.0,Data Analyst
910,45-49,Man,Spain,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Medium,45000.0,Data Engineer
913,40-44,Man,USA,Master’s degree,4,3-4 years,Other,Small,175000.0,Data Scientist
916,45-49,Man,Russia,Master’s degree,1,1-2 years,Other,Large,55000.0,Data Analyst
917,22-24,Man,UK,Bachelor’s degree,1,1-2 years,Medical/Pharmaceutical,Large,45000.0,Data Analyst
919,25-29,Woman,India,Master’s degree,1,Under 1 year,Energy/Mining,Large,12500.0,Data Engineer
920,25-29,Man,India,Professional doctorate,2,3-4 years,Online Business/Internet-based Sales,Large,175000.0,Data Engineer
921,25-29,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,500.0,Data Scientist
922,45-49,Man,Belgium,Master’s degree,2,No experience,Online Service/Internet-based Services,Large,75000.0,Data Analyst
924,35-39,Other,India,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,2500.0,Data Analyst
930,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,8750.0,Data Analyst
931,30-34,Woman,India,Doctoral degree,3,Under 1 year,Non-profit/Service,Small,12500.0,Data Analyst
932,30-34,Man,India,Bachelor’s degree,2,No experience,Computers/Technology,Large,4500.0,Data Engineer
933,18-21,Man,India,Bachelor’s degree,4,Under 1 year,Academics/Education,Large,55000.0,Data Analyst
934,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Medium,4500.0,Data Analyst
936,22-24,Man,India,Bachelor’s degree,3,2-3 years,Computers/Technology,Large,8750.0,Data Engineer
939,40-44,Man,USA,Doctoral degree,2,5-10 years,Academics/Education,Large,75000.0,Data Scientist
940,30-34,Man,India,Master’s degree,2,5-10 years,Accounting/Finance,Large,22500.0,Other
944,25-29,Woman,USA,Bachelor’s degree,3,1-2 years,Marketing/CRM,Large,95000.0,Data Scientist
947,30-34,Man,USA,Master’s degree,1,5-10 years,Medical/Pharmaceutical,Large,137500.0,Data Engineer
951,25-29,Man,Spain,Master’s degree,2,1-2 years,Insurance/Risk Assessment,Large,35000.0,Data Scientist
954,50-54,Man,Spain,Master’s degree,2,1-2 years,Medical/Pharmaceutical,Small,45000.0,Data Engineer
958,25-29,Man,USA,Some college,3,Under 1 year,Computers/Technology,Small,45000.0,Data Engineer
959,25-29,Man,Netherlands,Master’s degree,3,2-3 years,Insurance/Risk Assessment,Large,65000.0,Data Scientist
961,25-29,Man,Russia,I prefer not to answer,1,1-2 years,Academics/Education,Small,500.0,Data Engineer
964,40-44,Man,Netherlands,Bachelor’s degree,1,3-4 years,Government/Public Service,Medium,75000.0,Data Scientist
965,25-29,Man,USA,Master’s degree,3,Under 1 year,Academics/Education,Medium,95000.0,Data Scientist
969,35-39,Man,India,Master’s degree,2,No experience,Computers/Technology,Large,3500.0,Other
970,30-34,Man,Portugal,Master’s degree,1,No experience,Accounting/Finance,Large,12500.0,Other
972,35-39,Man,USA,Master’s degree,4,5-10 years,Other,Medium,175000.0,Data Engineer
973,35-39,Woman,Ukraine,I prefer not to answer,3,No experience,Manufacturing/Fabrication,Large,1500.0,Data Engineer
975,25-29,Man,India,Master’s degree,3,1-2 years,Hospitality/Entertainment/Sports,Medium,1500.0,Data Scientist
977,30-34,Man,India,Bachelor’s degree,1,2-3 years,Broadcasting/Communications,Large,8750.0,Data Analyst
979,30-34,Man,Russia,Some college,4,Under 1 year,Computers/Technology,Small,45000.0,Data Engineer
982,40-44,Man,India,Some college,2,Under 1 year,Manufacturing/Fabrication,Large,8750.0,Other
984,25-29,Man,India,Bachelor’s degree,2,4-5 years,Computers/Technology,Large,17500.0,Data Scientist
985,50-54,Woman,USA,Master’s degree,3,20 or more years,Retail/Sales,Large,175000.0,Data Analyst
986,25-29,Man,India,Bachelor’s degree,4,Under 1 year,Accounting/Finance,Large,12500.0,Data Engineer
989,40-44,Man,France,Master’s degree,3,Under 1 year,Shipping/Transportation,Small,500.0,Data Analyst
992,40-44,Woman,India,Doctoral degree,2,5-10 years,Academics/Education,Large,500.0,Other
993,55-59,Man,Netherlands,Doctoral degree,4,20 or more years,Accounting/Finance,Large,112500.0,Data Scientist
994,35-39,Man,France,Doctoral degree,2,5-10 years,Academics/Education,Large,27500.0,Data Scientist
1001,55-59,Man,USA,Master’s degree,4,5-10 years,Medical/Pharmaceutical,Large,175000.0,Data Scientist
1002,50-54,Man,Italy,Bachelor’s degree,4,2-3 years,Broadcasting/Communications,Large,35000.0,Data Engineer
