,age,gender,country,education,experience_prog,programming_lang_c,experience_ml,industry,team_size_g,salary_avg,role_group
1313,45-49,Woman,Austria,Master’s degree,5-10 years,2,No experience,Other,Small,27500.0,Other
1314,30-34,Man,Russia,Master’s degree,3-5 years,1,5-10 years,Accounting/Finance,Large,45000.0,Data Engineer
1329,22-24,Woman,Romania,Master’s degree,5-10 years,2,Under 1 year,Computers/Technology,No team,1500.0,Data Engineer
1342,40-44,Man,Italy,High school,20+ years,3,2-3 years,Computers/Technology,No team,35000.0,Data Engineer
1344,25-29,Man,UK,Master’s degree,3-5 years,3,1-2 years,Insurance/Risk Assessment,Small,55000.0,Data Analyst
1362,45-49,Man,UK,Bachelor’s degree,20+ years,3,3-4 years,Retail/Sales,Medium,55000.0,Data Analyst
1374,45-49,Man,UK,Master’s degree,5-10 years,2,Under 1 year,Accounting/Finance,No team,112500.0,Other
1390,22-24,Man,Poland,Master’s degree,1-3 years,1,Under 1 year,Manufacturing/Fabrication,Small,17500.0,Data Analyst
1391,50-54,Man,Spain,Master’s degree,20+ years,4,5-10 years,Military/Security/Defense,No team,55000.0,Other
1392,30-34,Man,Poland,Master’s degree,10-20 years,3,3-4 years,Online Service/Internet-based Services,Large,137500.0,Data Engineer
1394,18-21,Man,Russia,Bachelor’s degree,< 1 years,4,1-2 years,Academics/Education,Small,500.0,Data Scientist
1404,30-34,Man,Russia,Bachelor’s degree,< 1 years,1,No experience,Other,No team,2500.0,Data Analyst
1412,30-34,Man,Netherlands,Master’s degree,5-10 years,1,4-5 years,Retail/Sales,Small,75000.0,Data Scientist
1415,35-39,Woman,UK,Master’s degree,5-10 years,1,1-2 years,Computers/Technology,Large,85000.0,Data Engineer
1426,22-24,Man,Russia,Professional doctorate,1-3 years,1,Under 1 year,Manufacturing/Fabrication,Small,4500.0,Other
1428,18-21,Man,Poland,High school,1-3 years,2,Under 1 year,Hospitality/Entertainment/Sports,No team,500.0,Data Engineer
1429,30-34,Man,France,Master’s degree,10-20 years,1,1-2 years,Medical/Pharmaceutical,Small,35000.0,Data Analyst
1431,22-24,Man,Denmark,Master’s degree,1-3 years,1,1-2 years,Accounting/Finance,Small,17500.0,Data Scientist
1432,22-24,Man,Belarus,Master’s degree,1-3 years,2,1-2 years,Computers/Technology,Medium,12500.0,Data Engineer
1433,35-39,Man,Switzerland,Master’s degree,5-10 years,4,3-4 years,Shipping/Transportation,Small,95000.0,Data Scientist
1442,30-34,Man,Russia,Doctoral degree,3-5 years,3,4-5 years,Marketing/CRM,Small,27500.0,Data Scientist
1443,25-29,Man,Italy,Some college,3-5 years,3,Under 1 year,Shipping/Transportation,No team,27500.0,Data Engineer
1447,35-39,Man,Poland,Master’s degree,10-20 years,3,1-2 years,Accounting/Finance,Small,22500.0,Data Engineer
1452,35-39,Man,Netherlands,Doctoral degree,20+ years,1,4-5 years,Medical/Pharmaceutical,Small,65000.0,Data Scientist
1456,35-39,Man,Portugal,Master’s degree,20+ years,4,1-2 years,Computers/Technology,Small,45000.0,Data Engineer
1457,40-44,Man,Sweden,Master’s degree,1-3 years,2,Under 1 year,Academics/Education,Medium,3500.0,Data Scientist
1460,45-49,Man,Ukraine,Doctoral degree,20+ years,3,1-2 years,Broadcasting/Communications,Small,22500.0,Data Analyst
1462,30-34,Man,Belgium,Doctoral degree,3-5 years,4,2-3 years,Computers/Technology,Small,75000.0,Data Scientist
1468,30-34,Man,France,Professional doctorate,3-5 years,1,2-3 years,Medical/Pharmaceutical,No team,112500.0,Other
1475,22-24,Man,Spain,Some college,3-5 years,3,3-4 years,Accounting/Finance,Large,12500.0,Data Scientist
1476,40-44,Man,Ukraine,Master’s degree,5-10 years,1,10-20 years,Academics/Education,Small,3500.0,Data Scientist
1487,18-21,Man,Russia,Master’s degree,< 1 years,1,No experience,Energy/Mining,Small,3500.0,Data Analyst
1502,25-29,Man,Belarus,Bachelor’s degree,< 1 years,2,Under 1 year,Energy/Mining,Small,12500.0,Other
1504,30-34,Man,Romania,Doctoral degree,5-10 years,2,5-10 years,Computers/Technology,Small,55000.0,Data Engineer
1515,25-29,Man,Netherlands,Master’s degree,5-10 years,2,5-10 years,Accounting/Finance,Large,55000.0,Data Analyst
1520,30-34,Man,Germany,Master’s degree,5-10 years,3,5-10 years,Medical/Pharmaceutical,No team,75000.0,Data Engineer
1527,25-29,Man,Russia,Master’s degree,< 1 years,4,Under 1 year,Military/Security/Defense,Small,27500.0,Data Analyst
1532,30-34,Man,UK,Master’s degree,1-3 years,4,5-10 years,Computers/Technology,Medium,85000.0,Data Scientist
1534,25-29,Man,Poland,Master’s degree,5-10 years,2,2-3 years,Retail/Sales,Large,65000.0,Data Scientist
1535,25-29,Woman,Poland,Master’s degree,< 1 years,1,Under 1 year,Online Service/Internet-based Services,Small,500.0,Data Analyst
1538,30-34,Man,Spain,Doctoral degree,1-3 years,2,2-3 years,Academics/Education,Small,22500.0,Data Scientist
1544,25-29,Man,Czech Republic,Master’s degree,10-20 years,3,4-5 years,Online Business/Internet-based Sales,Medium,27500.0,Data Scientist
1552,45-49,Man,Russia,High school,< 1 years,2,Under 1 year,Academics/Education,Small,500.0,Data Scientist
1564,50-54,Man,Russia,Master’s degree,1-3 years,4,2-3 years,Medical/Pharmaceutical,Small,8750.0,Data Analyst
1567,40-44,Man,Spain,Master’s degree,10-20 years,3,10-20 years,Accounting/Finance,Small,22500.0,Data Analyst
1570,55-59,Man,Italy,Master’s degree,20+ years,2,5-10 years,Computers/Technology,Large,112500.0,Data Engineer
1571,45-49,Man,UK,Master’s degree,10-20 years,2,4-5 years,Retail/Sales,Large,85000.0,Data Scientist
1576,55-59,Man,Italy,High school,3-5 years,1,3-4 years,Computers/Technology,Large,35000.0,Data Analyst
1578,45-49,Man,Portugal,Master’s degree,10-20 years,2,2-3 years,Computers/Technology,Small,65000.0,Data Analyst
1582,40-44,Woman,Czech Republic,Doctoral degree,10-20 years,2,1-2 years,Computers/Technology,Small,27500.0,Data Scientist
1589,40-44,Man,France,Master’s degree,1-3 years,1,Under 1 year,Accounting/Finance,No team,55000.0,Other
1600,22-24,Woman,Czech Republic,Master’s degree,1-3 years,2,Under 1 year,Retail/Sales,Small,22500.0,Data Engineer
1604,50-54,Man,Netherlands,High school,5-10 years,4,5-10 years,Medical/Pharmaceutical,Small,45000.0,Data Engineer
1607,45-49,Man,France,Doctoral degree,3-5 years,3,Under 1 year,Academics/Education,Small,65000.0,Other
1608,35-39,Man,Portugal,Doctoral degree,5-10 years,1,5-10 years,Computers/Technology,Large,75000.0,Data Analyst
1609,18-21,Man,Russia,Some college,3-5 years,3,1-2 years,Academics/Education,Small,500.0,Data Engineer
1620,25-29,Man,Germany,Doctoral degree,3-5 years,3,Under 1 year,Academics/Education,No team,22500.0,Data Scientist
1621,25-29,Man,Italy,Master’s degree,5-10 years,1,2-3 years,Other,Large,35000.0,Data Scientist
1622,30-34,Man,Russia,Bachelor’s degree,5-10 years,1,No experience,Retail/Sales,Small,22500.0,Data Scientist
1628,30-34,Man,Switzerland,Master’s degree,5-10 years,1,5-10 years,Other,Small,112500.0,Data Scientist
1629,40-44,Man,Belgium,Bachelor’s degree,20+ years,3,3-4 years,Academics/Education,Small,2500.0,Data Engineer
1634,30-34,Man,Sweden,Master’s degree,10-20 years,1,5-10 years,Academics/Education,Large,27500.0,Other
1638,30-34,Man,Ukraine,Master’s degree,5-10 years,2,Under 1 year,Medical/Pharmaceutical,Small,2500.0,Data Engineer
1643,40-44,Man,Czech Republic,Master’s degree,10-20 years,3,3-4 years,Marketing/CRM,Large,75000.0,Data Engineer
1654,25-29,Man,Russia,I prefer not to answer,1-3 years,3,Under 1 year,Computers/Technology,Small,2500.0,Data Engineer
1659,35-39,Man,Germany,Master’s degree,1-3 years,1,Under 1 year,Computers/Technology,Small,137500.0,Data Analyst
1664,45-49,Man,Spain,Master’s degree,20+ years,3,1-2 years,Computers/Technology,Small,55000.0,Data Engineer
1665,25-29,Other,Poland,Master’s degree,3-5 years,2,Under 1 year,Marketing/CRM,No team,1500.0,Data Analyst
1668,25-29,Man,Italy,Doctoral degree,3-5 years,2,2-3 years,Marketing/CRM,Small,27500.0,Data Scientist
1670,25-29,Man,Belarus,Master’s degree,1-3 years,2,2-3 years,Accounting/Finance,Small,6250.0,Data Scientist
1675,55-59,Man,UK,Bachelor’s degree,20+ years,3,Under 1 year,Manufacturing/Fabrication,Small,65000.0,Data Engineer
1678,25-29,Man,Russia,Master’s degree,< 1 years,1,Under 1 year,Academics/Education,Small,12500.0,Data Scientist
1680,30-34,Man,UK,Master’s degree,1-3 years,2,Under 1 year,Manufacturing/Fabrication,Small,12500.0,Data Analyst
1690,22-24,Man,Romania,Bachelor’s degree,3-5 years,3,Under 1 year,Broadcasting/Communications,Large,27500.0,Data Analyst
1699,25-29,Man,Ireland,Master’s degree,3-5 years,3,2-3 years,Shipping/Transportation,Small,45000.0,Data Engineer
1701,40-44,Man,Germany,Master’s degree,10-20 years,4,10-20 years,Medical/Pharmaceutical,Medium,112500.0,Data Analyst
1704,25-29,Man,Poland,I prefer not to answer,< 1 years,1,No experience,Retail/Sales,Small,17500.0,Data Scientist
1707,45-49,Man,Italy,Some college,20+ years,1,5-10 years,Computers/Technology,Small,35000.0,Data Scientist
1710,40-44,Man,France,Master’s degree,10-20 years,3,Under 1 year,Energy/Mining,Small,1500.0,Data Scientist
1711,25-29,Man,Poland,Master’s degree,1-3 years,3,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
1717,45-49,Man,UK,Bachelor’s degree,20+ years,2,Under 1 year,Accounting/Finance,No team,112500.0,Other
1725,25-29,Man,Netherlands,Master’s degree,1-3 years,1,Under 1 year,Other,Small,45000.0,Other
1726,40-44,Man,Germany,Doctoral degree,1-3 years,1,5-10 years,Government/Public Service,Large,65000.0,Other
1737,30-34,Man,Czech Republic,Master’s degree,5-10 years,2,5-10 years,Computers/Technology,Small,45000.0,Data Engineer
1757,40-44,Man,UK,Master’s degree,1-3 years,2,3-4 years,Insurance/Risk Assessment,Large,75000.0,Data Scientist
1759,35-39,Man,Sweden,Doctoral degree,10-20 years,3,2-3 years,Medical/Pharmaceutical,Small,75000.0,Other
1761,30-34,Man,Germany,Bachelor’s degree,< 1 years,3,No experience,Other,Small,55000.0,Data Analyst
1773,40-44,Man,Germany,Master’s degree,10-20 years,2,1-2 years,Computers/Technology,Large,85000.0,Data Analyst
1775,22-24,Man,Romania,Bachelor’s degree,1-3 years,2,1-2 years,Other,Large,17500.0,Data Engineer
1782,25-29,Woman,Portugal,Master’s degree,3-5 years,1,1-2 years,Academics/Education,No team,500.0,Data Engineer
1783,50-54,Man,UK,Master’s degree,20+ years,3,1-2 years,Government/Public Service,Small,55000.0,Data Analyst
1785,30-34,Man,Russia,Master’s degree,< 1 years,2,Under 1 year,Energy/Mining,Large,12500.0,Data Engineer
1794,30-34,Woman,Germany,Master’s degree,10-20 years,2,Under 1 year,Government/Public Service,Small,65000.0,Data Analyst
1796,35-39,Woman,Spain,Master’s degree,5-10 years,3,5-10 years,Other,Large,65000.0,Data Scientist
1800,35-39,Man,UK,Master’s degree,5-10 years,3,1-2 years,Accounting/Finance,Small,75000.0,Data Engineer
1806,22-24,Man,UK,Bachelor’s degree,3-5 years,2,2-3 years,Computers/Technology,Large,85000.0,Other
1811,35-39,Woman,Germany,Master’s degree,5-10 years,2,2-3 years,Government/Public Service,Medium,112500.0,Data Engineer
1812,30-34,Man,Sweden,Doctoral degree,5-10 years,4,3-4 years,Academics/Education,Small,35000.0,Data Scientist
1814,40-44,Man,UK,Bachelor’s degree,3-5 years,2,3-4 years,Insurance/Risk Assessment,Large,112500.0,Data Scientist
1815,25-29,Man,Portugal,Doctoral degree,5-10 years,1,4-5 years,Computers/Technology,Large,12500.0,Data Scientist
1824,40-44,Man,Italy,Doctoral degree,10-20 years,3,5-10 years,Other,Large,45000.0,Data Scientist
1828,25-29,Man,Netherlands,Master’s degree,1-3 years,2,1-2 years,Shipping/Transportation,Large,65000.0,Data Analyst
1837,30-34,Man,Russia,Master’s degree,5-10 years,4,1-2 years,Shipping/Transportation,Small,27500.0,Data Engineer
1839,40-44,Man,Germany,Master’s degree,10-20 years,3,Under 1 year,Computers/Technology,Small,112500.0,Data Engineer
1846,18-21,Man,Belarus,Bachelor’s degree,1-3 years,2,Under 1 year,Computers/Technology,Medium,6250.0,Data Engineer
1847,25-29,Woman,Spain,Bachelor’s degree,1-3 years,1,No experience,Medical/Pharmaceutical,Small,45000.0,Data Analyst
1862,30-34,Man,Spain,Master’s degree,1-3 years,1,Under 1 year,Energy/Mining,No team,35000.0,Other
1873,30-34,Man,Netherlands,Doctoral degree,10-20 years,2,3-4 years,Accounting/Finance,Large,75000.0,Data Scientist
1876,25-29,Man,Italy,Master’s degree,1-3 years,2,1-2 years,Academics/Education,Small,1500.0,Data Scientist
1877,22-24,Man,Ukraine,Master’s degree,1-3 years,3,Under 1 year,Academics/Education,Small,2500.0,Data Engineer
1895,35-39,Man,Russia,Doctoral degree,10-20 years,4,2-3 years,Computers/Technology,Small,35000.0,Data Engineer
1900,45-49,Man,Romania,Master’s degree,1-3 years,2,No experience,Manufacturing/Fabrication,No team,12500.0,Data Engineer
1906,30-34,Woman,Ukraine,Master’s degree,5-10 years,2,3-4 years,Government/Public Service,Small,3500.0,Data Engineer
1916,45-49,Man,France,Doctoral degree,20+ years,2,10-20 years,Medical/Pharmaceutical,Small,45000.0,Data Scientist
1949,30-34,Man,Germany,Master’s degree,5-10 years,1,Under 1 year,Academics/Education,Medium,65000.0,Data Scientist
1955,40-44,Woman,Germany,Doctoral degree,3-5 years,2,Under 1 year,Computers/Technology,No team,55000.0,Data Engineer
1958,25-29,Man,Italy,Master’s degree,3-5 years,2,2-3 years,Manufacturing/Fabrication,Small,1500.0,Data Scientist
1971,35-39,Man,Sweden,Master’s degree,5-10 years,1,3-4 years,Broadcasting/Communications,Small,35000.0,Data Engineer
1976,25-29,Man,Germany,Master’s degree,1-3 years,2,1-2 years,Retail/Sales,Small,3500.0,Data Analyst
1982,40-44,Man,Italy,Doctoral degree,20+ years,2,2-3 years,Academics/Education,Small,35000.0,Data Scientist
1983,35-39,Man,France,Master’s degree,10-20 years,4,5-10 years,Energy/Mining,Small,85000.0,Data Engineer
1985,22-24,Man,UK,Master’s degree,3-5 years,3,Under 1 year,Government/Public Service,Medium,45000.0,Data Scientist
1995,45-49,Man,Netherlands,Doctoral degree,5-10 years,3,5-10 years,Shipping/Transportation,Small,137500.0,Data Scientist
1996,50-54,Man,UK,Master’s degree,20+ years,4,4-5 years,Computers/Technology,Small,137500.0,Data Engineer
2003,55-59,Man,Germany,Doctoral degree,20+ years,2,5-10 years,Energy/Mining,Small,137500.0,Data Scientist
2007,25-29,Man,Germany,Bachelor’s degree,3-5 years,2,2-3 years,Computers/Technology,Small,55000.0,Data Engineer
2009,40-44,Man,Italy,Doctoral degree,10-20 years,2,10-20 years,Academics/Education,Large,35000.0,Data Scientist
2011,30-34,Man,Spain,Bachelor’s degree,10-20 years,4,5-10 years,Marketing/CRM,Small,55000.0,Data Scientist
2018,40-44,Man,Poland,Master’s degree,1-3 years,2,No experience,Accounting/Finance,No team,45000.0,Other
2020,45-49,Man,Poland,Master’s degree,20+ years,4,3-4 years,Broadcasting/Communications,No team,55000.0,Data Engineer
2038,30-34,Man,Germany,Doctoral degree,5-10 years,1,5-10 years,Retail/Sales,Large,112500.0,Data Scientist
2041,35-39,Woman,Greece,Master’s degree,< 1 years,1,Under 1 year,Accounting/Finance,Medium,27500.0,Data Analyst
2046,40-44,Man,Ireland,Master’s degree,10-20 years,3,1-2 years,Manufacturing/Fabrication,No team,85000.0,Data Engineer
2049,25-29,Man,Czech Republic,Master’s degree,3-5 years,3,Under 1 year,Government/Public Service,Medium,35000.0,Data Engineer
2061,30-34,Man,Romania,Master’s degree,3-5 years,2,2-3 years,Accounting/Finance,Small,45000.0,Data Scientist
2067,35-39,Woman,France,Master’s degree,< 1 years,2,No experience,Retail/Sales,Small,4500.0,Other
2072,22-24,Man,Russia,Bachelor’s degree,3-5 years,1,Under 1 year,Energy/Mining,Small,12500.0,Data Scientist
2073,35-39,Man,Germany,Master’s degree,< 1 years,1,Under 1 year,Medical/Pharmaceutical,Small,500.0,Data Analyst
2077,25-29,Man,Spain,Bachelor’s degree,1-3 years,2,Under 1 year,Energy/Mining,Small,45000.0,Data Analyst
2080,35-39,Man,Spain,Bachelor’s degree,5-10 years,3,No experience,Computers/Technology,Small,45000.0,Data Engineer
2085,22-24,Man,Spain,Master’s degree,3-5 years,2,1-2 years,Academics/Education,Large,17500.0,Data Engineer
2090,30-34,Man,Belarus,Master’s degree,< 1 years,1,Under 1 year,Manufacturing/Fabrication,No team,500.0,Data Scientist
2096,30-34,Man,Germany,Doctoral degree,10-20 years,3,2-3 years,Academics/Education,Small,95000.0,Data Analyst
2102,25-29,Man,Italy,Bachelor’s degree,< 1 years,2,Under 1 year,Online Service/Internet-based Services,Small,22500.0,Data Analyst
2103,25-29,Man,Germany,Master’s degree,3-5 years,4,2-3 years,Medical/Pharmaceutical,Large,12500.0,Data Scientist
2107,22-24,Man,Russia,Bachelor’s degree,< 1 years,2,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
2109,55-59,Man,Russia,I prefer not to answer,20+ years,2,Under 1 year,Energy/Mining,Small,45000.0,Data Engineer
2112,40-44,Other,Netherlands,Master’s degree,20+ years,3,20 or more years,Other,Large,95000.0,Data Scientist
2113,30-34,Man,Portugal,Doctoral degree,3-5 years,3,4-5 years,Academics/Education,Small,45000.0,Data Scientist
2117,30-34,Man,Spain,Bachelor’s degree,1-3 years,2,1-2 years,Energy/Mining,Small,27500.0,Data Engineer
2123,30-34,Man,France,Master’s degree,5-10 years,2,2-3 years,Computers/Technology,Large,55000.0,Data Engineer
2125,25-29,Woman,Poland,Doctoral degree,< 1 years,2,1-2 years,Academics/Education,Large,2500.0,Data Scientist
2159,30-34,Man,France,Doctoral degree,5-10 years,3,3-4 years,Medical/Pharmaceutical,Small,75000.0,Data Scientist
2164,30-34,Man,Russia,Master’s degree,1-3 years,1,Under 1 year,Energy/Mining,No team,12500.0,Other
2181,25-29,Woman,Russia,Bachelor’s degree,3-5 years,1,3-4 years,Broadcasting/Communications,Small,35000.0,Data Scientist
2183,45-49,Man,Poland,Master’s degree,20+ years,3,1-2 years,Computers/Technology,Large,95000.0,Data Analyst
2184,50-54,Man,Ireland,High school,20+ years,2,No experience,Hospitality/Entertainment/Sports,Small,45000.0,Other
2186,30-34,Man,Russia,Master’s degree,1-3 years,3,1-2 years,Computers/Technology,Small,35000.0,Data Scientist
2191,22-24,Man,Ukraine,Master’s degree,3-5 years,4,1-2 years,Manufacturing/Fabrication,No team,6250.0,Data Engineer
2194,22-24,Man,UK,Master’s degree,3-5 years,2,Under 1 year,Academics/Education,Large,500.0,Data Engineer
2199,45-49,Man,Spain,Master’s degree,1-3 years,1,No experience,Energy/Mining,No team,65000.0,Other
2200,25-29,Man,UK,Master’s degree,1-3 years,2,2-3 years,Insurance/Risk Assessment,Small,55000.0,Data Scientist
2204,30-34,Man,Belgium,Master’s degree,10-20 years,2,4-5 years,Computers/Technology,Small,75000.0,Data Scientist
2208,40-44,Man,UK,Doctoral degree,1-3 years,1,1-2 years,Academics/Education,Small,55000.0,Data Engineer
