,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
245,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Energy/Mining,250-999 employees,5-9,60000-69999,Europe,Large,Small,Data Scientist,65000.0,between 50k and 80k
247,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,2,1-2 years,Other,"10,000 or more employees",20+,30000-39999,Europe,Large,Large,Data Engineer,35000.0,between 30k and 50k
248,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,4,3-4 years,Other,0-49 employees,1-2,0-999,Europe,Small,Small,Data Analyst,500.0,less than 10k
249,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,1,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,0-999,India,Small,Small,Data Scientist,500.0,less than 10k
252,22-24,Man,USA,Master’s degree,Other,3-5 years,2,No experience,Computers/Technology,250-999 employees,3-4,70000-79999,USA,Large,Small,Other,75000.0,between 50k and 80k
253,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,2,No experience,Academics/Education,0-49 employees,1-2,1000-1999,India,Small,Small,Data Scientist,1500.0,less than 10k
254,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,0-999,Other,Large,Large,Data Analyst,500.0,less than 10k
255,40-44,Man,USA,Master’s degree,Software Engineer,10-20 years,3,1-2 years,Online Service/Internet-based Services,250-999 employees,0,nan,USA,Large,No team,Data Engineer,39176.716266486306,more than 125k
256,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,4-5 years,Computers/Technology,"10,000 or more employees",15-19,30000-39999,India,Large,Medium,Data Engineer,35000.0,between 30k and 50k
258,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",3-4,2000-2999,Other,Large,Small,Data Analyst,2500.0,less than 10k
262,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years,2,1-2 years,Computers/Technology,250-999 employees,3-4,3000-3999,Other,Large,Small,Data Engineer,3500.0,less than 10k
263,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Retail/Sales,50-249 employees,1-2,100000-124999,Europe,Medium,Small,Data Scientist,112500.0,between 80k and 125k
264,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,3,No experience,Energy/Mining,"10,000 or more employees",20+,5000-7499,India,Large,Large,Data Analyst,6250.0,less than 10k
266,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years,3,1-2 years,Computers/Technology,0-49 employees,1-2,nan,Other,Small,Small,Data Analyst,39176.716266486306,more than 125k
267,45-49,Other,Brazil,Bachelor’s degree,Research Scientist,10-20 years,2,1-2 years,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
270,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,1,2-3 years,Academics/Education,50-249 employees,1-2,0-999,Other,Medium,Small,Data Analyst,500.0,less than 10k
271,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Online Business/Internet-based Sales,250-999 employees,20+,0-999,India,Large,Large,Data Analyst,500.0,less than 10k
274,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,3,Under 1 year,Government/Public Service,"1000-9,999 employees",10-14,100000-124999,Europe,Large,Medium,Data Analyst,112500.0,between 80k and 125k
275,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years,4,No experience,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
276,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years,1,1-2 years,Military/Security/Defense,"10,000 or more employees",1-2,3000-3999,Other,Large,Small,Other,3500.0,less than 10k
281,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,2000-2999,Other,Large,Small,Data Engineer,2500.0,less than 10k
283,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,Data Analyst,500.0,less than 10k
284,50-54,Man,USA,Bachelor’s degree,Software Engineer,20+ years,6,5-10 years,Retail/Sales,"1000-9,999 employees",20+,250000-299999,USA,Large,Large,Data Engineer,275000.0,more than 125k
285,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,10000-14999,Other,Large,Small,Data Analyst,12500.0,between 10k and 30k
286,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years,1,Under 1 year,Military/Security/Defense,"1000-9,999 employees",20+,125000-149999,Other,Large,Large,Data Scientist,137500.0,more than 125k
288,35-39,Woman,USA,Master’s degree,Data Scientist,10-20 years,4,5-10 years,Computers/Technology,0-49 employees,1-2,150000-199999,USA,Small,Small,Data Scientist,175000.0,more than 125k
290,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",0,20000-24999,Europe,Large,No team,Other,22500.0,between 10k and 30k
293,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,5,2-3 years,Hospitality/Entertainment/Sports,"1000-9,999 employees",20+,2000-2999,India,Large,Large,Data Analyst,2500.0,less than 10k
296,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,"1000-9,999 employees",1-2,5000-7499,Other,Large,Small,Data Analyst,6250.0,less than 10k
299,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years,2,2-3 years,Other,0-49 employees,1-2,30000-39999,Other,Small,Small,Data Analyst,35000.0,between 30k and 50k
301,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",5-9,7500-9999,India,Large,Small,Data Scientist,8750.0,less than 10k
302,25-29,Other,Germany,Doctoral degree,Research Scientist,3-5 years,4,3-4 years,Academics/Education,250-999 employees,20+,50000-59999,Europe,Large,Large,Data Scientist,55000.0,between 50k and 80k
304,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,No experience,Academics/Education,50-249 employees,0,3000-3999,India,Medium,No team,Data Engineer,3500.0,less than 10k
306,45-49,Man,India,Master’s degree,Statistician,20+ years,2,20 or more years,Other,50-249 employees,5-9,25000-29999,India,Medium,Small,Data Scientist,27500.0,between 10k and 30k
307,30-34,Man,UK,Bachelor’s degree,Machine Learning Engineer,10-20 years,1,2-3 years,Computers/Technology,"10,000 or more employees",20+,70000-79999,Europe,Large,Large,Data Engineer,75000.0,between 50k and 80k
308,30-34,Other,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 years,5,Under 1 year,Marketing/CRM,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Engineer,12500.0,between 10k and 30k
310,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years,1,3-4 years,Academics/Education,0-49 employees,3-4,7500-9999,Other,Small,Small,Data Analyst,8750.0,less than 10k
312,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Computers/Technology,50-249 employees,3-4,15000-19999,Other,Medium,Small,Data Analyst,17500.0,between 10k and 30k
313,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Non-profit/Service,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
315,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,"10,000 or more employees",3-4,25000-29999,India,Large,Small,Data Scientist,27500.0,between 10k and 30k
323,40-44,Man,Japan,Master’s degree,Other,10-20 years,6,Under 1 year,Broadcasting/Communications,"10,000 or more employees",10-14,100000-124999,Other,Large,Medium,Other,112500.0,between 80k and 125k
325,40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Retail/Sales,0-49 employees,20+,1000-1999,Other,Small,Large,Data Scientist,1500.0,less than 10k
326,25-29,Man,France,Master’s degree,Data Scientist,1-3 years,4,1-2 years,Insurance/Risk Assessment,"1000-9,999 employees",1-2,nan,Europe,Large,Small,Data Scientist,39176.716266486306,more than 125k
328,35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 years,3,1-2 years,Government/Public Service,"1000-9,999 employees",20+,0-999,Other,Large,Large,Data Engineer,500.0,less than 10k
330,35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,3,2-3 years,Academics/Education,0-49 employees,1-2,4000-4999,Europe,Small,Small,Data Scientist,4500.0,less than 10k
333,40-44,Man,France,Doctoral degree,Data Scientist,10-20 years,2,No experience,Computers/Technology,0-49 employees,5-9,40000-49999,Europe,Small,Small,Data Scientist,45000.0,between 30k and 50k
335,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Insurance/Risk Assessment,0-49 employees,5-9,10000-14999,India,Small,Small,Data Scientist,12500.0,between 10k and 30k
336,35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 years,6,3-4 years,Computers/Technology,"10,000 or more employees",20+,3000-3999,Other,Large,Large,Data Scientist,3500.0,less than 10k
337,45-49,Man,Russia,Master’s degree,Product Manager,3-5 years,2,1-2 years,Computers/Technology,0-49 employees,1-2,0-999,Europe,Small,Small,Data Analyst,500.0,less than 10k
339,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Accounting/Finance,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
340,40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 years,1,2-3 years,Academics/Education,250-999 employees,20+,60000-69999,Other,Large,Large,Other,65000.0,between 50k and 80k
341,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Academics/Education,250-999 employees,1-2,1000-1999,Europe,Large,Small,Data Analyst,1500.0,less than 10k
342,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Other,0-49 employees,0,0-999,Other,Small,No team,Data Scientist,500.0,less than 10k
344,50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 years,4,1-2 years,Computers/Technology,50-249 employees,1-2,25000-29999,Europe,Medium,Small,Data Scientist,27500.0,between 10k and 30k
346,30-34,Man,India,Master’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,50-249 employees,3-4,0-999,India,Medium,Small,Data Scientist,500.0,less than 10k
347,55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ years,3,20 or more years,Other,50-249 employees,3-4,70000-79999,Europe,Medium,Small,Data Scientist,75000.0,between 50k and 80k
348,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years,4,2-3 years,Computers/Technology,"1000-9,999 employees",20+,25000-29999,Other,Large,Large,Data Scientist,27500.0,between 10k and 30k
352,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",3-4,20000-24999,India,Large,Small,Data Scientist,22500.0,between 10k and 30k
353,22-24,Man,China,Some college,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
354,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,2,4-5 years,Computers/Technology,"10,000 or more employees",3-4,2000-2999,India,Large,Small,Data Engineer,2500.0,less than 10k
355,30-34,Man,USA,Master’s degree,Data Scientist,5-10 years,4,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Scientist,175000.0,more than 125k
356,30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 years,4,1-2 years,Academics/Education,"1000-9,999 employees",3-4,5000-7499,Other,Large,Small,Data Engineer,6250.0,less than 10k
357,40-44,Man,India,Master’s degree,Data Engineer,5-10 years,2,Under 1 year,Academics/Education,250-999 employees,5-9,0-999,India,Large,Small,Data Engineer,500.0,less than 10k
358,35-39,Man,India,Doctoral degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,3000-3999,India,Small,Small,Data Engineer,3500.0,less than 10k
360,22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,50-249 employees,1-2,7500-9999,Other,Medium,Small,Data Scientist,8750.0,less than 10k
362,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,0,1000-1999,Europe,Medium,No team,Data Analyst,1500.0,less than 10k
364,35-39,Man,USA,Bachelor’s degree,Business Analyst,5-10 years,3,Under 1 year,Retail/Sales,"10,000 or more employees",20+,70000-79999,USA,Large,Large,Data Analyst,75000.0,between 50k and 80k
369,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years,1,No experience,Accounting/Finance,250-999 employees,5-9,30000-39999,Other,Large,Small,Other,35000.0,between 30k and 50k
371,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,1-3 years,2,Under 1 year,Computers/Technology,50-249 employees,0,nan,India,Medium,No team,Data Engineer,39176.716266486306,more than 125k
372,25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Accounting/Finance,250-999 employees,3-4,25000-29999,Other,Large,Small,Data Scientist,27500.0,between 10k and 30k
373,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years,4,3-4 years,Computers/Technology,0-49 employees,1-2,60000-69999,Other,Small,Small,Data Analyst,65000.0,between 50k and 80k
374,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 years,2,1-2 years,Academics/Education,50-249 employees,3-4,2000-2999,Other,Medium,Small,Data Engineer,2500.0,less than 10k
376,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years,3,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",1-2,10000-14999,India,Large,Small,Data Analyst,12500.0,between 10k and 30k
380,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years,3,1-2 years,Accounting/Finance,0-49 employees,3-4,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
381,25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,Data Scientist,500.0,less than 10k
384,18-21,Woman,Colombia,Some college,Software Engineer,< 1 years,3,Under 1 year,Manufacturing/Fabrication,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
387,45-49,Man,Japan,Master’s degree,Other,10-20 years,2,Under 1 year,Computers/Technology,250-999 employees,0,60000-69999,Other,Large,No team,Other,65000.0,between 50k and 80k
388,25-29,Woman,Spain,Master’s degree,Software Engineer,1-3 years,4,1-2 years,Accounting/Finance,50-249 employees,5-9,nan,Europe,Medium,Small,Data Engineer,39176.716266486306,more than 125k
390,40-44,Man,Australia,Master’s degree,Data Engineer,10-20 years,3,Under 1 year,Medical/Pharmaceutical,250-999 employees,20+,70000-79999,Other,Large,Large,Data Engineer,75000.0,between 50k and 80k
392,50-54,Man,Israel,Master’s degree,Product Manager,20+ years,6,1-2 years,Computers/Technology,"1000-9,999 employees",15-19,50000-59999,Other,Large,Medium,Data Analyst,55000.0,between 50k and 80k
393,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,4,1-2 years,Other,50-249 employees,5-9,1000-1999,Other,Medium,Small,Data Scientist,1500.0,less than 10k
394,35-39,Man,USA,Master’s degree,Data Scientist,10-20 years,2,5-10 years,Accounting/Finance,0-49 employees,3-4,100000-124999,USA,Small,Small,Data Scientist,112500.0,between 80k and 125k
395,50-54,Woman,USA,Professional doctorate,Data Scientist,1-3 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,90000-99999,USA,Small,Small,Data Scientist,95000.0,between 80k and 125k
396,18-21,Man,Indonesia,Master’s degree,Research Scientist,< 1 years,3,Under 1 year,Energy/Mining,50-249 employees,5-9,0-999,Other,Medium,Small,Data Scientist,500.0,less than 10k
397,50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 years,1,1-2 years,Online Service/Internet-based Services,50-249 employees,3-4,60000-69999,Europe,Medium,Small,Data Analyst,65000.0,between 50k and 80k
398,50-54,Man,USA,Bachelor’s degree,Product Manager,20+ years,3,5-10 years,Energy/Mining,"10,000 or more employees",10-14,150000-199999,USA,Large,Medium,Data Analyst,175000.0,more than 125k
400,35-39,Man,Greece,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Shipping/Transportation,50-249 employees,3-4,15000-19999,Europe,Medium,Small,Data Scientist,17500.0,between 10k and 30k
402,40-44,Man,Ukraine,Master’s degree,Software Engineer,20+ years,6,Under 1 year,Accounting/Finance,0-49 employees,1-2,0-999,Europe,Small,Small,Data Engineer,500.0,less than 10k
403,22-24,Woman,Brazil,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Academics/Education,0-49 employees,3-4,4000-4999,Other,Small,Small,Data Scientist,4500.0,less than 10k
404,35-39,Woman,India,Doctoral degree,Research Scientist,5-10 years,5,1-2 years,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
406,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 years,4,Under 1 year,Broadcasting/Communications,"10,000 or more employees",20+,5000-7499,Other,Large,Large,Data Analyst,6250.0,less than 10k
