,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,salary_avg,salary_group,role_group
240,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years,4,4-5 years,Computers/Technology,"1000-9,999 employees",1-2,125000-149999,Other,Large,Small,137500.0,more than 125k,Data Engineer
243,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,3,1-2 years,Computers/Technology,"1000-9,999 employees",1-2,2000-2999,India,Large,Small,2500.0,less than 10k,Data Engineer
245,35-39,Man,France,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Energy/Mining,250-999 employees,5-9,60000-69999,Europe,Large,Small,65000.0,between 50k and 80k,Data Scientist
247,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years,2,1-2 years,Other,"10,000 or more employees",20+,30000-39999,Europe,Large,Large,35000.0,between 30k and 50k,Data Engineer
248,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years,4,3-4 years,Other,0-49 employees,1-2,0-999,Europe,Small,Small,500.0,less than 10k,Data Analyst
249,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years,1,Under 1 year,Online Business/Internet-based Sales,0-49 employees,1-2,0-999,India,Small,Small,500.0,less than 10k,Data Scientist
252,22-24,Man,USA,Master’s degree,Other,3-5 years,2,No experience,Computers/Technology,250-999 employees,3-4,70000-79999,USA,Large,Small,75000.0,between 50k and 80k,Other
253,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years,2,No experience,Academics/Education,0-49 employees,1-2,1000-1999,India,Small,Small,1500.0,less than 10k,Data Scientist
254,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years,1,No experience,Computers/Technology,"10,000 or more employees",20+,0-999,Other,Large,Large,500.0,less than 10k,Data Analyst
256,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,2,4-5 years,Computers/Technology,"10,000 or more employees",15-19,30000-39999,India,Large,Medium,35000.0,between 30k and 50k,Data Engineer
258,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",3-4,2000-2999,Other,Large,Small,2500.0,less than 10k,Data Analyst
259,60-69,Man,USA,Master’s degree,Software Engineer,20+ years,4,2-3 years,Computers/Technology,50-249 employees,15-19,100000-124999,USA,Medium,Medium,112500.0,between 80k and 125k,Data Engineer
262,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years,2,1-2 years,Computers/Technology,250-999 employees,3-4,3000-3999,Other,Large,Small,3500.0,less than 10k,Data Engineer
263,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Retail/Sales,50-249 employees,1-2,100000-124999,Europe,Medium,Small,112500.0,between 80k and 125k,Data Scientist
264,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,3,No experience,Energy/Mining,"10,000 or more employees",20+,5000-7499,India,Large,Large,6250.0,less than 10k,Data Analyst
267,45-49,Other,Brazil,Bachelor’s degree,Research Scientist,10-20 years,2,1-2 years,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
270,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years,1,2-3 years,Academics/Education,50-249 employees,1-2,0-999,Other,Medium,Small,500.0,less than 10k,Data Analyst
271,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years,2,Under 1 year,Online Business/Internet-based Sales,250-999 employees,20+,0-999,India,Large,Large,500.0,less than 10k,Data Analyst
274,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years,3,Under 1 year,Government/Public Service,"1000-9,999 employees",10-14,100000-124999,Europe,Large,Medium,112500.0,between 80k and 125k,Data Analyst
275,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years,4,No experience,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
276,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years,1,1-2 years,Military/Security/Defense,"10,000 or more employees",1-2,3000-3999,Other,Large,Small,3500.0,less than 10k,Other
281,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years,4,Under 1 year,Computers/Technology,"10,000 or more employees",1-2,2000-2999,Other,Large,Small,2500.0,less than 10k,Data Engineer
283,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Academics/Education,0-49 employees,5-9,0-999,Other,Small,Small,500.0,less than 10k,Data Analyst
284,50-54,Man,USA,Bachelor’s degree,Software Engineer,20+ years,6,5-10 years,Retail/Sales,"1000-9,999 employees",20+,250000-299999,USA,Large,Large,275000.0,more than 125k,Data Engineer
285,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",1-2,10000-14999,Other,Large,Small,12500.0,between 10k and 30k,Data Analyst
286,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years,1,Under 1 year,Military/Security/Defense,"1000-9,999 employees",20+,125000-149999,Other,Large,Large,137500.0,more than 125k,Data Scientist
288,35-39,Woman,USA,Master’s degree,Data Scientist,10-20 years,4,5-10 years,Computers/Technology,0-49 employees,1-2,150000-199999,USA,Small,Small,175000.0,more than 125k,Data Scientist
290,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years,1,No experience,Manufacturing/Fabrication,"10,000 or more employees",0,20000-24999,Europe,Large,No team,22500.0,between 10k and 30k,Other
293,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years,5,2-3 years,Hospitality/Entertainment/Sports,"1000-9,999 employees",20+,2000-2999,India,Large,Large,2500.0,less than 10k,Data Analyst
296,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,"1000-9,999 employees",1-2,5000-7499,Other,Large,Small,6250.0,less than 10k,Data Analyst
299,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years,2,2-3 years,Other,0-49 employees,1-2,30000-39999,Other,Small,Small,35000.0,between 30k and 50k,Data Analyst
301,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",5-9,7500-9999,India,Large,Small,8750.0,less than 10k,Data Scientist
302,25-29,Other,Germany,Doctoral degree,Research Scientist,3-5 years,4,3-4 years,Academics/Education,250-999 employees,20+,50000-59999,Europe,Large,Large,55000.0,between 50k and 80k,Data Scientist
304,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,2,No experience,Academics/Education,50-249 employees,0,3000-3999,India,Medium,No team,3500.0,less than 10k,Data Engineer
306,45-49,Man,India,Master’s degree,Statistician,20+ years,2,20 or more years,Other,50-249 employees,5-9,25000-29999,India,Medium,Small,27500.0,between 10k and 30k,Data Scientist
307,30-34,Man,UK,Bachelor’s degree,Machine Learning Engineer,10-20 years,1,2-3 years,Computers/Technology,"10,000 or more employees",20+,70000-79999,Europe,Large,Large,75000.0,between 50k and 80k,Data Engineer
308,30-34,Other,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 years,5,Under 1 year,Marketing/CRM,0-49 employees,1-2,10000-14999,Other,Small,Small,12500.0,between 10k and 30k,Data Engineer
310,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years,1,3-4 years,Academics/Education,0-49 employees,3-4,7500-9999,Other,Small,Small,8750.0,less than 10k,Data Analyst
311,60-69,Man,Chile,Master’s degree,Other,20+ years,3,4-5 years,Academics/Education,250-999 employees,3-4,0-999,Other,Large,Small,500.0,less than 10k,Other
312,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years,1,Under 1 year,Computers/Technology,50-249 employees,3-4,15000-19999,Other,Medium,Small,17500.0,between 10k and 30k,Data Analyst
313,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Non-profit/Service,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
315,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,1,3-4 years,Computers/Technology,"10,000 or more employees",3-4,25000-29999,India,Large,Small,27500.0,between 10k and 30k,Data Scientist
323,40-44,Man,Japan,Master’s degree,Other,10-20 years,6,Under 1 year,Broadcasting/Communications,"10,000 or more employees",10-14,100000-124999,Other,Large,Medium,112500.0,between 80k and 125k,Other
325,40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Retail/Sales,0-49 employees,20+,1000-1999,Other,Small,Large,1500.0,less than 10k,Data Scientist
328,35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 years,3,1-2 years,Government/Public Service,"1000-9,999 employees",20+,0-999,Other,Large,Large,500.0,less than 10k,Data Engineer
330,35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 years,3,2-3 years,Academics/Education,0-49 employees,1-2,4000-4999,Europe,Small,Small,4500.0,less than 10k,Data Scientist
333,40-44,Man,France,Doctoral degree,Data Scientist,10-20 years,2,No experience,Computers/Technology,0-49 employees,5-9,40000-49999,Europe,Small,Small,45000.0,between 30k and 50k,Data Scientist
335,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Insurance/Risk Assessment,0-49 employees,5-9,10000-14999,India,Small,Small,12500.0,between 10k and 30k,Data Scientist
336,35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 years,6,3-4 years,Computers/Technology,"10,000 or more employees",20+,3000-3999,Other,Large,Large,3500.0,less than 10k,Data Scientist
337,45-49,Man,Russia,Master’s degree,Product Manager,3-5 years,2,1-2 years,Computers/Technology,0-49 employees,1-2,0-999,Europe,Small,Small,500.0,less than 10k,Data Analyst
339,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 years,3,4-5 years,Accounting/Finance,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
340,40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 years,1,2-3 years,Academics/Education,250-999 employees,20+,60000-69999,Other,Large,Large,65000.0,between 50k and 80k,Other
341,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Academics/Education,250-999 employees,1-2,1000-1999,Europe,Large,Small,1500.0,less than 10k,Data Analyst
342,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,1,Under 1 year,Other,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Scientist
344,50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 years,4,1-2 years,Computers/Technology,50-249 employees,1-2,25000-29999,Europe,Medium,Small,27500.0,between 10k and 30k,Data Scientist
346,30-34,Man,India,Master’s degree,Data Scientist,< 1 years,3,Under 1 year,Academics/Education,50-249 employees,3-4,0-999,India,Medium,Small,500.0,less than 10k,Data Scientist
347,55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ years,3,20 or more years,Other,50-249 employees,3-4,70000-79999,Europe,Medium,Small,75000.0,between 50k and 80k,Data Scientist
348,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years,4,2-3 years,Computers/Technology,"1000-9,999 employees",20+,25000-29999,Other,Large,Large,27500.0,between 10k and 30k,Data Scientist
352,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Manufacturing/Fabrication,"1000-9,999 employees",3-4,20000-24999,India,Large,Small,22500.0,between 10k and 30k,Data Scientist
353,22-24,Man,China,Some college,Machine Learning Engineer,3-5 years,2,2-3 years,Computers/Technology,0-49 employees,0,0-999,Other,Small,No team,500.0,less than 10k,Data Engineer
354,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,2,4-5 years,Computers/Technology,"10,000 or more employees",3-4,2000-2999,India,Large,Small,2500.0,less than 10k,Data Engineer
355,30-34,Man,USA,Master’s degree,Data Scientist,5-10 years,4,5-10 years,Insurance/Risk Assessment,"10,000 or more employees",20+,150000-199999,USA,Large,Large,175000.0,more than 125k,Data Scientist
356,30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 years,4,1-2 years,Academics/Education,"1000-9,999 employees",3-4,5000-7499,Other,Large,Small,6250.0,less than 10k,Data Engineer
357,40-44,Man,India,Master’s degree,Data Engineer,5-10 years,2,Under 1 year,Academics/Education,250-999 employees,5-9,0-999,India,Large,Small,500.0,less than 10k,Data Engineer
358,35-39,Man,India,Doctoral degree,Software Engineer,1-3 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,3000-3999,India,Small,Small,3500.0,less than 10k,Data Engineer
360,22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,50-249 employees,1-2,7500-9999,Other,Medium,Small,8750.0,less than 10k,Data Scientist
362,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years,1,No experience,Accounting/Finance,50-249 employees,0,1000-1999,Europe,Medium,No team,1500.0,less than 10k,Data Analyst
364,35-39,Man,USA,Bachelor’s degree,Business Analyst,5-10 years,3,Under 1 year,Retail/Sales,"10,000 or more employees",20+,70000-79999,USA,Large,Large,75000.0,between 50k and 80k,Data Analyst
369,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years,1,No experience,Accounting/Finance,250-999 employees,5-9,30000-39999,Other,Large,Small,35000.0,between 30k and 50k,Other
372,25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 years,3,3-4 years,Accounting/Finance,250-999 employees,3-4,25000-29999,Other,Large,Small,27500.0,between 10k and 30k,Data Scientist
373,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years,4,3-4 years,Computers/Technology,0-49 employees,1-2,60000-69999,Other,Small,Small,65000.0,between 50k and 80k,Data Analyst
374,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 years,2,1-2 years,Academics/Education,50-249 employees,3-4,2000-2999,Other,Medium,Small,2500.0,less than 10k,Data Engineer
376,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years,3,1-2 years,Medical/Pharmaceutical,"10,000 or more employees",1-2,10000-14999,India,Large,Small,12500.0,between 10k and 30k,Data Analyst
377,60-69,Man,India,Master’s degree,Software Engineer,10-20 years,3,1-2 years,Online Service/Internet-based Services,0-49 employees,1-2,10000-14999,India,Small,Small,12500.0,between 10k and 30k,Data Engineer
379,60-69,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years,1,Under 1 year,Accounting/Finance,"10,000 or more employees",20+,4000-4999,India,Large,Large,4500.0,less than 10k,Data Analyst
380,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years,3,1-2 years,Accounting/Finance,0-49 employees,3-4,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
381,25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 years,2,Under 1 year,Academics/Education,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Scientist
384,18-21,Woman,Colombia,Some college,Software Engineer,< 1 years,3,Under 1 year,Manufacturing/Fabrication,0-49 employees,1-2,0-999,Other,Small,Small,500.0,less than 10k,Data Engineer
387,45-49,Man,Japan,Master’s degree,Other,10-20 years,2,Under 1 year,Computers/Technology,250-999 employees,0,60000-69999,Other,Large,No team,65000.0,between 50k and 80k,Other
390,40-44,Man,Australia,Master’s degree,Data Engineer,10-20 years,3,Under 1 year,Medical/Pharmaceutical,250-999 employees,20+,70000-79999,Other,Large,Large,75000.0,between 50k and 80k,Data Engineer
392,50-54,Man,Israel,Master’s degree,Product Manager,20+ years,6,1-2 years,Computers/Technology,"1000-9,999 employees",15-19,50000-59999,Other,Large,Medium,55000.0,between 50k and 80k,Data Analyst
393,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,4,1-2 years,Other,50-249 employees,5-9,1000-1999,Other,Medium,Small,1500.0,less than 10k,Data Scientist
394,35-39,Man,USA,Master’s degree,Data Scientist,10-20 years,2,5-10 years,Accounting/Finance,0-49 employees,3-4,100000-124999,USA,Small,Small,112500.0,between 80k and 125k,Data Scientist
395,50-54,Woman,USA,Professional doctorate,Data Scientist,1-3 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,90000-99999,USA,Small,Small,95000.0,between 80k and 125k,Data Scientist
396,18-21,Man,Indonesia,Master’s degree,Research Scientist,< 1 years,3,Under 1 year,Energy/Mining,50-249 employees,5-9,0-999,Other,Medium,Small,500.0,less than 10k,Data Scientist
397,50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 years,1,1-2 years,Online Service/Internet-based Services,50-249 employees,3-4,60000-69999,Europe,Medium,Small,65000.0,between 50k and 80k,Data Analyst
398,50-54,Man,USA,Bachelor’s degree,Product Manager,20+ years,3,5-10 years,Energy/Mining,"10,000 or more employees",10-14,150000-199999,USA,Large,Medium,175000.0,more than 125k,Data Analyst
400,35-39,Man,Greece,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Shipping/Transportation,50-249 employees,3-4,15000-19999,Europe,Medium,Small,17500.0,between 10k and 30k,Data Scientist
402,40-44,Man,Ukraine,Master’s degree,Software Engineer,20+ years,6,Under 1 year,Accounting/Finance,0-49 employees,1-2,0-999,Europe,Small,Small,500.0,less than 10k,Data Engineer
403,22-24,Woman,Brazil,Master’s degree,Data Scientist,1-3 years,2,1-2 years,Academics/Education,0-49 employees,3-4,4000-4999,Other,Small,Small,4500.0,less than 10k,Data Scientist
404,35-39,Woman,India,Doctoral degree,Research Scientist,5-10 years,5,1-2 years,Academics/Education,0-49 employees,0,0-999,India,Small,No team,500.0,less than 10k,Data Scientist
406,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,1-3 years,4,Under 1 year,Broadcasting/Communications,"10,000 or more employees",20+,5000-7499,Other,Large,Large,6250.0,less than 10k,Data Analyst
